name,id,genre,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,alt-rock,The Neighbourhood,92.0,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,1
Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,alt-rock,The Neighbourhood,89.0,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,1
Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,alt-rock,Neon Trees,83.0,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,2
Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,alt-rock,Nirvana,80.0,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,1
Tongue Tied,0GO8y8jQk1PkHzS31d699N,alt-rock,Grouplove,82.0,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,1
Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,alt-rock,The Killers,78.0,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,2
Little Dark Age,2Y0iGXY6m6immVb2ktbseM,alt-rock,MGMT,84.0,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,1
Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,alt-rock,The White Stripes,86.0,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,3
The Middle,6GG73Jik4jUlQCkKg9JuGO,alt-rock,Jimmy Eat World,81.0,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,1
Creep,70LcF31zb1H0PyJoS1Sx1r,alt-rock,Radiohead,85.0,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4
Come As You Are,4P5KoWXOxwuobLmHXLMobV,alt-rock,Nirvana,77.0,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,3
Everlong,5UWwZ5lm5PKu6eKsHAGxOk,alt-rock,Foo Fighters,81.0,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,2
Out of My League,2AYEOC02WLhUiOoaig2SEH,alt-rock,Fitz and The Tantrums,75.0,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,2
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,alt-rock,The Killers,85.0,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,2
Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,alt-rock,3 Doors Down,81.0,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,3
The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,alt-rock,The Strokes,81.0,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,2
