,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Drake,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11.0,-6.035,0.0,0.141,0.000619,4.5e-06,0.323,0.331,136.008
1,Drake,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5.0,-9.579,0.0,0.324,0.0635,0.0,0.0834,0.153,145.887
2,Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,0.666,0.465,1.0,-8.545,1.0,0.26,0.0503,0.0,0.215,0.292,167.937
3,Drake,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3,0.767,0.438,7.0,-8.726,0.0,0.29,0.181,0.0,0.142,0.381,86.975
4,Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,0.578,0.449,1.0,-6.349,1.0,0.286,0.0618,2.17e-06,0.119,0.1,136.006
5,Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967
6,Drake,Champagne Poetry,2HSmyk2qMN8WQjuGhaQgCk,0.423,0.667,6.0,-7.012,0.0,0.326,0.758,0.0,0.246,0.496,86.743
7,Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,0.0,-8.871,1.0,0.134,0.244,3.47e-05,0.107,0.522,133.976
8,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169
9,Drake,No Friends In The Industry,2tUL6dZf1mywCj5WvCPZw6,0.84,0.744,1.0,-4.751,1.0,0.113,0.0181,0.0,0.629,0.171,83.737
10,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11.0,-3.745,0.0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011
11,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2.0,-2.724,1.0,0.0856,0.281,0.0,0.0424,0.822,141.02
12,Ed Sheeran,Overpass Graffiti,4btFHqumCO31GksfuBLLv3,0.52,0.849,9.0,-3.794,0.0,0.186,0.00253,0.0,0.119,0.774,175.908
13,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05
14,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977
15,Ed Sheeran,Photograph,6fxVffaTuwjgEk5h9QyRjy,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989
16,Ed Sheeran,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,0.61,0.488,3.0,-6.918,1.0,0.0293,0.817,0.0,0.312,0.443,125.039
17,Ed Sheeran,Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998
18,Ed Sheeran,2step,2SUxn2O9NHL6GHGQFgwCY0,0.763,0.661,4.0,-5.592,0.0,0.056,0.169,0.0,0.117,0.632,95.002
19,Ed Sheeran,Happier,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0.0,-7.355,1.0,0.0288,0.536,0.0,0.135,0.236,89.792
20,Bad Bunny,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,0.639,0.703,4.0,-6.33,0.0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888
21,Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,0.644,0.648,1.0,-4.601,1.0,0.118,0.276,0.0,0.135,0.44,179.951
22,Bad Bunny,Volví,2vmfvSoZBFAt9hhRoEByLi,0.725,0.86,1.0,-3.726,1.0,0.182,0.422,0.000284,0.0674,0.791,175.896
23,Bad Bunny,Volando - Remix,0G2zPzWqVjR68iNPmx2TBe,0.659,0.688,6.0,-4.649,1.0,0.0673,0.207,0.0,0.113,0.632,153.979
24,Bad Bunny,AM Remix,05bfbizlM5AX6Mf1RRyMho,0.743,0.655,6.0,-5.015,0.0,0.159,0.114,0.0,0.0764,0.785,172.031
25,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928
26,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,0.856,0.618,7.0,-4.892,1.0,0.286,0.0303,0.0,0.0866,0.391,81.993
27,Bad Bunny,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,0.754,0.646,7.0,-5.795,1.0,0.317,0.152,1.85e-05,0.108,0.429,176.089
28,Bad Bunny,120,3KJ3opyV29269SXkPrc19l,0.636,0.656,2.0,-5.542,0.0,0.0676,0.451,7.97e-06,0.287,0.439,171.918
29,Bad Bunny,A Tu Merced,4r9jkMEnArtWGH2rL2FZl0,0.86,0.791,0.0,-4.784,1.0,0.0568,0.169,0.000106,0.106,0.887,92.023
30,Ariana Grande,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,0.65,0.825,0.0,-4.645,1.0,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091
31,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015
32,Ariana Grande,7 rings,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,1.0,-10.732,0.0,0.334,0.592,0.0,0.0881,0.327,140.048
33,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,0.597,0.45,8.0,-6.658,1.0,0.0418,0.223,0.0,0.382,0.537,178.765
34,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,0.0,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978
35,Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966
