,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Kenneth James Gibson,To See You Drift,7aEoQYVBZ7aWnQjy3q4Hel,0.0628,0.226,7.0,-17.907,0.0,0.0402,0.867,0.917,0.104,0.0308,64.818
1,Kenneth James Gibson,Disinclined To Vacate,3raLHswCLEJbVrSe4EPltK,0.123,0.174,8.0,-21.421,1.0,0.0365,0.712,0.887,0.0877,0.126,72.822
2,Kenneth James Gibson,Gone Too Soon,2tgExJWl6bbB4SEoWq83AZ,0.0652,0.235,6.0,-18.712,1.0,0.0399,0.581,0.977,0.0745,0.039,74.513
3,Kenneth James Gibson,Her Flood Knocked Me To The Ground (But I Was Already There),0cFvfLVTPDDegtSa0utcTi,0.215,0.239,1.0,-19.038,1.0,0.0343,0.545,0.884,0.107,0.0378,128.935
4,Kenneth James Gibson,Monoceros,3oGk0mkyKnWYjNiGHGeTPK,0.0982,0.222,4.0,-16.015,0.0,0.0434,0.598,0.963,0.118,0.0273,90.412
5,Kenneth James Gibson,Far From Home - Superpitcher Mix,2sqsCItR6QHKCnvCI3s1sr,0.616,0.277,7.0,-15.746,1.0,0.0298,0.00269,0.47,0.117,0.187,100.004
6,Kenneth James Gibson,Far From Home,2OjSwFUulIrLgsJidJrLnA,0.131,0.204,7.0,-19.206,0.0,0.039,0.377,0.959,0.154,0.0425,98.924
7,Kenneth James Gibson,Thirsty Lullaby,6feJsawFYUDsUjl8IjPosD,0.144,0.281,3.0,-20.644,0.0,0.0397,0.8,0.922,0.107,0.0325,139.209
8,Kenneth James Gibson,Spherical Aberration - Kenneth James Gibsons Lost Astronaut Mix,5Tv8xPDt9dyIjH0j9sc3K0,0.196,0.456,8.0,-16.046,0.0,0.0604,0.849,0.895,0.114,0.0668,120.872
9,Kenneth James Gibson,Poured Semi Silently Upon You,4E0JF4EdwGmPZZegPayhSP,0.153,0.222,4.0,-19.473,0.0,0.034,0.811,0.822,0.113,0.0349,59.923
10,Megadeth,Symphony Of Destruction,51TG9W3y9qyO8BY5RXKgnZ,0.61,0.891,4.0,-5.452,0.0,0.0587,0.000805,0.0928,0.0657,0.51,139.903
11,Megadeth,Holy Wars...The Punishment Due - Remastered,5LyRtsQLhcXmy50VXhQXXS,0.325,0.985,11.0,-3.941,1.0,0.151,0.00177,0.107,0.351,0.221,125.307
12,Megadeth,Tornado Of Souls - Remastered 2004,4E5xVW505akJX0wcKj8Mpd,0.519,0.982,7.0,-3.547,1.0,0.108,0.00203,0.00055,0.0971,0.361,97.745
13,Megadeth,A Tout Le Monde - Remastered 2004,6olS0TmHmsGr0hXtcBsiVM,0.272,0.747,5.0,-4.86,0.0,0.0401,0.000393,4.03e-05,0.16,0.255,202.777
14,Megadeth,Hangar 18 - Remastered,6b6uLZsoGhObYexIxnRbIb,0.248,0.988,2.0,-3.74,1.0,0.144,5.87e-05,0.84,0.323,0.149,115.301
15,Megadeth,Peace Sells - Remastered,5a2hIQWInPjqkkFiUEgxoX,0.322,0.932,4.0,-4.252,0.0,0.163,8.57e-05,0.817,0.0969,0.376,138.042
16,Megadeth,Sweating Bullets - Remastered 2004,6i7IXg8j7ZngiEOgBYjkhw,0.325,0.856,4.0,-6.547,0.0,0.188,0.000319,0.00708,0.257,0.652,69.955
17,Megadeth,In My Darkest Hour - Remastered,5LO0sJCkNMZYLYeGOvblLu,0.322,0.978,9.0,-5.446,1.0,0.131,8.66e-05,0.266,0.136,0.271,112.878
18,Megadeth,Angry Again,3CI1JP2ooMBSFjIy1u6Yrc,0.689,0.719,3.0,-8.643,0.0,0.0304,2.39e-05,0.679,0.314,0.959,127.982
19,Megadeth,Promises,0kAocIIQ0FP9NIKASAjVH5,0.371,0.696,7.0,-5.516,0.0,0.0294,0.00236,3.12e-06,0.0857,0.209,75.723
20,Emeli Sandé,"Read All About It, Pt. III",0FRcdft6ABgbT1fX6smwkm,0.634,0.44,2.0,-7.186,1.0,0.025,0.82,4.08e-06,0.0926,0.337,98.047
21,Emeli Sandé,Next To Me,1Xsxp1SEOxuMzjrFZhtw8u,0.674,0.81,7.0,-5.117,0.0,0.0378,0.0923,4.74e-05,0.11,0.391,94.995
22,Emeli Sandé,Clown,0EGVOnw876hry5JOK0ZaeV,0.459,0.255,7.0,-8.118,1.0,0.0383,0.916,0.000407,0.113,0.229,118.933
23,Emeli Sandé,Hurts,6jRb6vNUr9jVAR426U2ldU,0.582,0.641,1.0,-7.532,0.0,0.0271,0.0153,0.00459,0.154,0.181,106.026
24,Emeli Sandé,Family,5P5DlkMeOFrQCHUgB05PYf,0.446,0.561,6.0,-5.5,0.0,0.0497,0.18,0.000212,0.273,0.19,99.984
25,Emeli Sandé,One Of A Kind,5qpCKwkAnG7irQmmsei8sU,0.335,0.47,6.0,-8.282,1.0,0.0426,0.123,0.0,0.15,0.236,185.178
26,Emeli Sandé,Look What You've Done - with Jaykae,4HdJ2ie8rtjtBycOAnDdEo,0.602,0.882,0.0,-4.328,1.0,0.0878,0.0622,3.71e-06,0.0904,0.507,120.135
27,Emeli Sandé,My Kind Of Love,586T4NFpg34rcFG3q7y2I3,0.497,0.722,5.0,-2.165,0.0,0.0323,0.715,1.23e-06,0.183,0.414,86.782
28,Emeli Sandé,Breathing Underwater,3Le4N9DFC3fZQM7jS4gO6F,0.496,0.554,3.0,-8.565,1.0,0.042,0.0754,0.000156,0.457,0.252,77.045
