,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Simply Red,If You Don't Know Me by Now - 2008 Remaster,7DFawVSjI88xR9mjnWwURg,0.638,0.352,10.0,-9.266,1.0,0.0268,0.492,0.0,0.105,0.204,94.173
1,Simply Red,Stars,5QJSD5GQOq72OmwLV5IHUV,0.716,0.818,7.0,-7.456,1.0,0.0256,0.154,0.000806,0.236,0.817,103.668
2,Simply Red,Holding Back the Years - 2008 Remaster,1yg7fwwYmx9DQ2TdXUmfpJ,0.707,0.514,9.0,-8.885,0.0,0.0281,0.58,0.000159,0.0953,0.524,86.035
3,Simply Red,For Your Babies,2TPcH3YlcOa6vWxS63VILx,0.726,0.486,9.0,-8.774,1.0,0.0237,0.212,0.00022,0.077,0.476,95.983
4,Simply Red,Something Got Me Started - 2008 Remaster,7EVSRJ9eH21ri2lIHkKkoP,0.698,0.91,2.0,-6.563,1.0,0.0459,0.019,7.73e-05,0.11,0.715,112.112
5,Simply Red,Sunrise,0jGVEPscW8KmqktoHqv2Pa,0.788,0.728,5.0,-5.123,0.0,0.0295,0.00325,0.23,0.0979,0.936,105.983
6,Simply Red,Fairground,3lghqWELEWj9yEPvme7c4W,0.718,0.731,6.0,-6.454,1.0,0.042,0.208,0.2,0.083,0.619,122.839
7,Simply Red,Money's Too Tight (To Mention) - 2008 Remaster,2u9MJ3AMjrKeVGEAntelyM,0.761,0.813,2.0,-6.018,1.0,0.0299,0.322,0.00219,0.0588,0.878,113.415
8,Simply Red,It's Only Love - 2008 Remaster,6i1uWZYWabNHq2wQnoca58,0.666,0.884,9.0,-5.243,0.0,0.0429,0.506,0.00612,0.0408,0.754,92.005
9,Simply Red,You Make Me Feel Brand New - Live at Sydney Opera House,74zxAK1Gh3jTUE0SoHKF0f,0.603,0.508,6.0,-8.175,1.0,0.0342,0.474,1.94e-05,0.342,0.173,78.534
10,Dawn Wall,Rain God,4XC8wCNrIneWEL0ihVZDwS,0.496,0.869,5.0,-4.461,0.0,0.0477,0.000244,0.789,0.201,0.0514,175.055
11,Dawn Wall,Shy,6uPeArwrUUsXQF3zDkmZDm,0.465,0.724,10.0,-6.862,0.0,0.0372,0.00298,0.645,0.0837,0.0354,174.009
