,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Nightcrawlers,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,0.824,0.862,2.0,-3.424,1.0,0.126,0.0076,0.000132,0.303,0.801,122.98
1,Nightcrawlers,Push The Feeling On - Mk Dub Revisited Edit,1EWsVHU4FNAdtN4R8FETag,0.793,0.5,6.0,-13.108,0.0,0.0319,0.028,1.96e-05,0.186,0.833,123.017
2,Nightcrawlers,Losing My Mind,0WNjZebEUjiPEdVqfYjlcZ,0.601,0.881,1.0,-3.834,1.0,0.0291,0.0317,0.0364,0.441,0.86,125.026
3,Nightcrawlers,Push The Feeling (feat. Big Narstie),6RlHX1oWuPOhPkESDxiKFl,0.81,0.86,11.0,-5.953,0.0,0.0675,0.0452,0.0,0.12,0.825,132.088
4,Nightcrawlers,Push The Feeling On - The Dub Of Doom,1RIO7tSsKrprrjBA6aRj6p,0.802,0.539,11.0,-13.299,0.0,0.0555,0.00178,0.0577,0.0474,0.767,122.027
5,Nightcrawlers,Surrender Your Love (feat. John Reid) - MK Radio Edit,6ydsGIVXGqo4kXvgASZjbz,0.805,0.598,8.0,-9.408,0.0,0.0352,0.00204,0.00261,0.0888,0.923,122.303
6,Nightcrawlers,Push The Feeling On - Mk Mix 95,6KlfxIZBWVmKjrAV4Y2E5U,0.818,0.499,11.0,-12.864,0.0,0.0487,0.00258,0.000376,0.156,0.486,123.032
7,Nightcrawlers,Push the Feeling - Agua Sin Gas by Antoine Clamaran Remix,41dRRQlEg3nSKiSAvj46W8,0.774,0.955,11.0,-2.445,0.0,0.0548,0.000889,0.0402,0.047,0.72,125.002
8,Nightcrawlers,Push The Feeling On - Mk Dub Revisited,1ZlBJ2hnetMFowruMhpVRY,0.834,0.523,6.0,-13.123,0.0,0.0387,0.00416,0.000922,0.0845,0.524,123.029
9,Nightcrawlers,Push the Feeling On - U-ness & Jedset 2014 Soulheat Radio Edit,1YQW2Np51Yv2pIvqeK0btC,0.771,0.86,11.0,-5.826,0.0,0.0371,0.0237,0.000103,0.185,0.863,124.976
10,Flava D,All We Ever Do,1owwIRJ2NwV4UGxLvAa87M,0.649,0.773,10.0,-5.11,0.0,0.0336,0.196,0.0287,0.0796,0.627,86.986
11,Flava D,Snakebite,5wN3p3JA3LadVYxbcqfiLo,0.729,0.923,6.0,-4.33,1.0,0.0509,0.0199,0.856,0.0755,0.149,87.502
12,Flava D,Soul Shake,75e1ATcTy5PPNc6syUt2oh,0.754,0.829,9.0,-8.471,0.0,0.0533,0.209,0.249,0.326,0.505,130.001
13,Flava D,Secure the Bag,3cy2jsGqXCDVGyWzVQ9tu0,0.671,0.956,1.0,-2.298,1.0,0.0311,0.0437,0.335,0.0728,0.749,130.017
14,Flava D,Now or Never,7GxbQl6ItdiWYiO2WqmeFX,0.53,0.889,11.0,-5.705,1.0,0.0402,0.000129,0.00433,0.0733,0.113,174.01
15,Flava D,Springloaded,35GOTE8LvV2IUhu6xvu4VT,0.63,0.849,8.0,-5.763,0.0,0.0473,0.0012,0.894,0.28,0.479,174.01
16,Flava D,Vibsing Ting,0tC2QY7L5minvugmaG3yy6,0.701,0.711,8.0,-8.103,0.0,0.0496,0.0252,0.331,0.269,0.214,134.993
17,Flava D,Ascendance,5hNLJD4E0ML0XzXRFfuxEn,0.741,0.964,6.0,-6.862,1.0,0.0511,0.0213,0.876,0.0958,0.584,130.011
18,Flava D,New Day,2PWHJOR92tlIhNBxv5fIdN,0.793,0.684,8.0,-6.808,0.0,0.109,0.0248,0.63,0.12,0.634,130.036
19,Flava D,Womp Machine,6i0ikjavsGDiX7UITpZl24,0.615,0.795,6.0,-5.913,0.0,0.0427,0.00466,0.894,0.37,0.541,87.004
20,Svetlana Gorokhovich,"Valse Sentimentale, Op. 51, No. 6",1RvwkB97peLcc6NiHyCmQa,0.148,0.0258,9.0,-29.282,0.0,0.0485,0.977,0.908,0.0903,0.136,81.13
21,Svetlana Gorokhovich,"Pezzo Capriccioso, Op. 62 (For Cello and Piano)",6Vs8X2OGhFGQqp4M8HT2Mg,0.256,0.109,2.0,-26.042,1.0,0.0407,0.982,0.778,0.103,0.227,96.492
22,Svetlana Gorokhovich,"Nocturne, Op. 19, No. 4 for Cello and Piano",12MY6n6FV5HzLLN6C6td34,0.114,0.0506,2.0,-26.066,0.0,0.0488,0.986,0.848,0.125,0.0934,77.809
23,Svetlana Gorokhovich,"Sonata for Cello and Piano in D Minor, Op. 40: I. Allegro non troppo",3M5h15Z41JY63Pd1y4VQlG,0.237,0.0672,10.0,-24.556,1.0,0.0461,0.979,0.886,0.0842,0.0721,76.965
24,Svetlana Gorokhovich,"Sonata for Cello and Piano in D Minor, Op. 40: II. Allegro",2Wdi7pb3A4cU2kPoj32Vsi,0.485,0.221,7.0,-19.381,1.0,0.033,0.976,0.899,0.127,0.665,101.92
25,Svetlana Gorokhovich,"Sonata for Cello and Piano in D Minor, Op. 40: IV. Allegro",6dEXG25DCTGTWCqkRWRslf,0.419,0.0692,5.0,-23.552,1.0,0.0355,0.988,0.88,0.0733,0.545,75.291
26,Svetlana Gorokhovich,"Suite Italienne (After Pulcinella), For Cello and Piano: II. Serenata",35kl4PxmJtE3t5hBBWxKv5,0.241,0.0306,0.0,-25.643,0.0,0.0433,0.987,0.858,0.125,0.168,103.022
27,Svetlana Gorokhovich,"Sonata for Cello and Piano in D Minor, Op. 40: III. Largo",0cDRhVcQyazieGRNSv53VS,0.0745,0.00931,6.0,-29.781,1.0,0.0507,0.964,0.912,0.11,0.0376,180.369
28,Svetlana Gorokhovich,"Suite Italienne (After Pulcinella), For Cello and Piano: I. Introduzione",6O4n9sQpjUeBIU8ZHEUNXg,0.439,0.0427,2.0,-21.887,1.0,0.0373,0.993,0.931,0.116,0.56,74.134
29,Svetlana Gorokhovich,"Suite Italienne (After Pulcinella), For Cello and Piano: III. Aria: Allegro alla breve. Largo",79KmYofiupvPoxsU3ZQt33,0.275,0.0294,3.0,-24.411,1.0,0.0467,0.987,0.848,0.114,0.206,69.643
30,Monica,The Boy Is Mine,6sHsXIJoEN5JpdkGMQDJxt,0.704,0.707,1.0,-6.537,0.0,0.0391,0.539,0.00106,0.318,0.761,93.145
31,Monica,Angel of Mine,1AM1o0mKbgAK5oMpY8B3Z7,0.592,0.562,10.0,-6.869,0.0,0.0239,0.00373,3.23e-05,0.223,0.208,90.16
32,Monica,So Gone,6BIcjFZIVDZxNAcofRFPx4,0.618,0.552,8.0,-6.863,1.0,0.0981,0.176,0.0,0.252,0.586,81.975
33,Monica,For You I Will,2b29qJRy4asbQNFjPO96XC,0.652,0.473,0.0,-7.981,0.0,0.0313,0.243,0.0,0.134,0.368,123.208
34,Monica,Don't Take It Personal (Just One of Dem Days),0JCAezTC5IlK1a9o0YBEsD,0.731,0.355,8.0,-12.741,1.0,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72
35,Monica,Before You Walk Out of My Life,6xrvubhznLOcEO3AM6XBN2,0.555,0.41,6.0,-8.308,1.0,0.0431,0.227,0.0,0.13,0.433,169.804
36,Monica,Everytime Tha Beat Drop (feat. Dem Franchize Boyz),1ydffhoWtTxKDrc5zi7p0M,0.762,0.644,7.0,-6.715,1.0,0.223,0.0522,0.0,0.0821,0.82,81.99
37,Monica,U Should've Known Better,0EQuu6hyNACWI7LT7N5pRv,0.753,0.516,6.0,-5.164,1.0,0.0308,0.191,0.0,0.275,0.826,122.019
38,Monica,Why I Love You So Much,7EKvTUo567BRNzZ37clvlf,0.721,0.398,11.0,-8.932,0.0,0.0449,0.0158,3.54e-05,0.0586,0.578,151.823
39,Monica,Trenches,7z9lRMknTiGUeV2cD7oTy6,0.622,0.501,1.0,-4.33,1.0,0.21,0.00642,0.0,0.167,0.308,202.007
40,Los Tigres Del Norte,El Ultimo Adiós - Varios Artistas Version,0tzixmHNQfE6S6SirSToxW,0.276,0.572,1.0,-7.818,1.0,0.0377,0.641,0.0,0.2,0.285,77.986
41,Los Tigres Del Norte,Qué Tal Si Eres Tu,228ExGBaOYwzsAGotWXaqy,0.618,0.844,2.0,-4.377,1.0,0.108,0.194,0.0,0.341,0.968,187.642
42,Los Tigres Del Norte,La Puerta Negra,5TueyPDnDMPSRdQd7VYooI,0.698,0.54,4.0,-8.986,1.0,0.0331,0.315,2.25e-06,0.288,0.969,108.101
43,Los Tigres Del Norte,Contrabando Y Traición,4gRi0itWso2UodoRMP5asJ,0.829,0.332,0.0,-12.314,1.0,0.0556,0.358,2.69e-05,0.15,0.88,109.608
44,Los Tigres Del Norte,La Mesa Del Rincón,1FrXO0TFnw6g0ygHxhiZ3p,0.808,0.529,5.0,-10.719,0.0,0.0426,0.321,0.00124,0.252,0.967,113.583
45,Los Tigres Del Norte,Ni Parientes Somos,2ANeBRTHe6N0dq7dz7CaVJ,0.849,0.605,0.0,-5.705,0.0,0.0544,0.321,0.0,0.193,0.968,109.913
46,Los Tigres Del Norte,Prisión De Amor,3Lpg4XUPBhscufuiSCNd30,0.745,0.639,8.0,-6.809,1.0,0.0248,0.0784,7.99e-06,0.261,0.797,100.412
47,Los Tigres Del Norte,Pedro Y Pablo,5XgIkYlSVby03NmqREd5Sf,0.86,0.444,0.0,-9.294,0.0,0.151,0.454,0.0,0.0347,0.957,108.878
48,Los Tigres Del Norte,La Banda Del Carro Rojo,6WDwbOSL8PGwokjxxZ7FDG,0.817,0.305,9.0,-10.975,1.0,0.07,0.523,0.0,0.0325,0.809,108.358
49,Los Tigres Del Norte,Mi Fantasía,7AXTS96xScRsYLzEQMaTNK,0.628,0.471,4.0,-8.791,1.0,0.0436,0.143,9.65e-05,0.0736,0.974,208.125
50,Restless Heart,When She Cries,6XO3pbrZP9JBJclHt0JiY0,0.662,0.528,9.0,-9.744,1.0,0.0256,0.105,0.0,0.0634,0.493,104.162
51,Restless Heart,I'll Still Be Loving You,1y9Tpv5Lj0KYMvz2mzoidT,0.539,0.209,8.0,-16.902,1.0,0.0297,0.704,0.0,0.0922,0.259,168.758
52,Restless Heart,The Bluest Eyes In Texas,1XUiXn0r5o9EDS6BhAYdIA,0.643,0.525,10.0,-10.988,1.0,0.0272,0.496,0.0,0.142,0.552,113.907
53,Restless Heart,Why Does It Have to Be (Wrong or Right),2PgFdBqxZ3jJgcnotSLd65,0.756,0.448,9.0,-13.605,1.0,0.0282,0.23,0.0,0.0817,0.82,88.945
54,Restless Heart,Fast Movin' Train,5Jif3sN0pAgRQ8qKPHIDLb,0.76,0.486,5.0,-11.826,1.0,0.0279,0.0732,1.73e-05,0.117,0.3,113.264
55,Restless Heart,That Rock Won't Roll,6fkBh0vLX2GahgCw1eXui3,0.718,0.39,9.0,-14.56,1.0,0.0261,0.0739,1.18e-06,0.179,0.771,114.382
56,Restless Heart,Tell Me What You Dream,4cJ0W1lbIX9kKdTolml12O,0.666,0.464,0.0,-10.131,0.0,0.0257,0.117,0.00182,0.328,0.439,94.151
57,Restless Heart,You Can Depend On Me,6ADc4s4LJg9nAxD0hiAKZS,0.718,0.732,7.0,-9.582,1.0,0.0308,0.34,0.0,0.236,0.719,104.765
58,Restless Heart,Dancy's Dream,3mB5tnnwHGVUIuI6lOcag8,0.608,0.663,0.0,-11.251,1.0,0.0287,0.453,4.69e-05,0.119,0.789,80.372
59,Restless Heart,Mind Over Matters of the Heart,7tudNlp5oyyIUrjnWbkIR4,0.566,0.312,6.0,-12.899,1.0,0.0283,0.583,0.0,0.125,0.281,125.747
60,Dennis Kruissen,Falling In Love,4qAEFnCVCqZsIcaOKQwMUj,0.355,0.475,11.0,-8.821,1.0,0.0438,0.0123,0.0,0.162,0.146,134.495
61,Dennis Kruissen,Falling In Love,60YA90efTMyt6gpGKClhvu,0.459,0.454,11.0,-9.202,1.0,0.0387,0.0247,0.0,0.169,0.0741,139.909
62,Dennis Kruissen,Begging - Dennis Kruissen Remix,73n6lFmc738KqQ3ad9jR7j,0.695,0.698,7.0,-7.678,1.0,0.0328,0.0858,0.0143,0.131,0.359,117.017
63,Dennis Kruissen,Falling In Love - De Hofnar Remix,1FjE8jsOLAuMwqAY5upQxR,0.549,0.585,11.0,-7.388,1.0,0.0312,0.0314,0.000273,0.0836,0.119,139.951
64,Dennis Kruissen,Love Like The Sun,2CD7cNYf6TlH1gGJVuNgWH,0.641,0.845,7.0,-7.297,1.0,0.116,0.257,0.0,0.104,0.396,76.039
65,Dennis Kruissen,This Is It,38Pb8HTdTeaFdY0xzgoMCi,0.656,0.742,1.0,-6.638,1.0,0.0376,0.0243,6.72e-05,0.556,0.254,122.993
66,Dennis Kruissen,South America - Sebastien Remix,5tJbBrZX2jPNTRNtQn4Jcj,0.712,0.808,7.0,-3.933,1.0,0.163,0.112,0.000216,0.114,0.258,119.969
67,Dennis Kruissen,Red Balloon - Dennis Kruissen Remix,3lAj98nV2df0xvbC4Bfy5m,0.613,0.803,0.0,-7.444,1.0,0.0288,0.0779,0.859,0.0853,0.186,125.024
68,Dennis Kruissen,Skin & Bone,1gYv8m3PlgdAex11edHKGN,0.582,0.732,10.0,-7.091,1.0,0.0457,0.0967,0.0,0.186,0.14,94.049
69,Dennis Kruissen,Falling In Love - AVIRA Remix,697voskzIa4I9xZzMadJGc,0.818,0.448,6.0,-11.713,0.0,0.0932,0.028,0.8,0.183,0.502,122.012
70,Håkan Hellström,Det kommer aldrig va över för mig,74DNN2RYW9j2h76knWClmd,0.554,0.877,0.0,-6.515,1.0,0.0469,0.012,3.94e-05,0.499,0.499,127.034
71,Håkan Hellström,Valborg,1pg2bYasH7d86fEhlYhAAK,0.512,0.294,7.0,-12.574,1.0,0.0301,0.887,0.00271,0.0948,0.327,110.008
72,Håkan Hellström,Din tid kommer - Otto Knows Remix,04LHuPqOMSpnHFaziPq1qO,0.542,0.862,2.0,-4.423,1.0,0.0969,0.251,0.000122,0.111,0.441,128.024
73,Håkan Hellström,Känn ingen sorg för mig Göteborg,2yz5IaQLnO8WBCIWMXoRBS,0.242,0.824,0.0,-4.151,1.0,0.0481,0.000605,1.4e-05,0.286,0.503,119.036
74,Håkan Hellström,Känn ingen sorg för mig Göteborg,0uJkV2PIfImwkOxh09C5wK,0.607,0.541,0.0,-9.822,1.0,0.0564,0.463,0.0,0.333,0.646,145.902
75,Håkan Hellström,Tillsammans i mörker,0HDVPeJfe1EkmfC6lCOQnp,0.656,0.706,1.0,-7.015,1.0,0.0311,0.112,0.0,0.0742,0.416,116.937
76,Håkan Hellström,Visa vid vindens ängar,0fmQ692NrBq51GSFVNV3og,0.172,0.659,11.0,-5.677,1.0,0.032,0.302,0.0492,0.263,0.336,102.605
77,Håkan Hellström,Ramlar,6BvtcJlv2kdlUodAt7PD6c,0.128,0.976,0.0,-4.144,1.0,0.0845,0.00121,0.0,0.317,0.329,168.276
78,Håkan Hellström,Kom igen Lena!,4UDaVq5tm2mQ6tNgWydhUX,0.433,0.939,2.0,-3.61,1.0,0.0603,0.000837,0.0,0.316,0.548,106.384
79,Håkan Hellström,En midsommarnattsdröm,2PD70CPXPOsnTxJdoaaN95,0.269,0.857,0.0,-4.422,1.0,0.0441,0.628,0.0,0.186,0.688,167.276
80,Pablo Alborán,Saturno,2f0Ft2XdvNSMSY5TUlZgEz,0.278,0.572,7.0,-8.295,1.0,0.0407,0.392,0.0,0.063,0.311,95.351
81,Pablo Alborán,El Mismo Aire - con Pablo Alborán,5EbtodsuLbxrFDH6j5avVS,0.483,0.492,0.0,-6.591,0.0,0.295,0.603,0.0,0.323,0.66,144.511
82,Pablo Alborán,Llueve sobre mojado,3z4XtoZVf8AOoR18Lnp7e1,0.663,0.782,11.0,-4.519,0.0,0.1,0.00153,0.000848,0.121,0.611,145.077
83,Pablo Alborán,Solamente tú,7sRXhReWmJF5pqyg3uUTES,0.519,0.419,9.0,-6.276,1.0,0.033,0.457,0.0,0.161,0.266,140.033
