song,artist,last_week,peak_pos,n_weeks,source
all i want for christmas is you,mariah carey,1,1,50,billboard100
rockin' around the christmas tree,brenda lee,2,2,44,billboard100
jingle bell rock,bobby helms,4,3,41,billboard100
a holly jolly christmas,burl ives,5,4,25,billboard100
easy on me,adele,3,1,11,billboard100
it's the most wonderful time of the year,andy williams,7,5,26,billboard100
last christmas,wham!,9,7,24,billboard100
feliz navidad,jose feliciano,11,6,19,billboard100
stay,the kid laroi & justin bieber,6,1,24,billboard100
sleigh ride,the ronettes,13,10,15,billboard100
the christmas song (merry christmas to you),nat king cole,15,11,31,billboard100
"let it snow, let it snow, let it snow",dean martin,17,8,18,billboard100
underneath the tree,kelly clarkson,18,12,14,billboard100
broadway girls,lil durk featuring morgan wallen,-,14,1,billboard100
heat waves,glass animals,8,7,49,billboard100
christmas (baby please come home),darlene love,25,16,11,billboard100
it's beginning to look a lot like christmas,perry como and the fontane sisters with mitchell ayres and his orchestra,19,12,11,billboard100
santa tell me,ariana grande,24,17,12,billboard100
rudolph the red-nosed reindeer,gene autry,21,16,16,billboard100
happy holiday / the holiday season,andy williams,22,18,12,billboard100
white christmas,bing crosby,27,12,24,billboard100
industry baby,lil nas x & jack harlow,10,1,22,billboard100
shivers,ed sheeran,12,5,15,billboard100
need to know,doja cat,14,8,28,billboard100
run rudolph run,chuck berry,32,10,13,billboard100
super gremlin,kodak black,20,20,7,billboard100
abcdefu,gayle,16,15,5,billboard100
(there's no place like) home for the holidays,perry como,28,22,11,billboard100
cold heart (pnau remix),elton john & dua lipa,23,11,16,billboard100
it's beginning to look a lot like christmas,michael buble,36,20,9,billboard100
bad habits,ed sheeran,26,2,26,billboard100
smokin out the window,silk sonic (bruno mars & anderson .paak),30,5,7,billboard100
jingle bells,frank sinatra,-,33,3,billboard100
"you're a mean one, mr. grinch",thurl ravenscroft,44,32,4,billboard100
santa baby,eartha kitt with henri rene and his orchestra,50,35,2,billboard100
wonderful christmastime,paul mccartney,41,28,6,billboard100
linus & lucy,vince guaraldi trio,-,37,1,billboard100
good 4 u,olivia rodrigo,33,1,32,billboard100
ghost,justin bieber,37,32,13,billboard100
please come home for christmas,eagles,-,18,10,billboard100
santa claus is comin' to town,jackson 5,-,41,2,billboard100
i hate u,sza,31,7,3,billboard100
little saint nick,the beach boys,-,43,2,billboard100
mistletoe,justin bieber,49,11,12,billboard100
fancy like,walker hayes,35,3,27,billboard100
deck the halls,nat king cole,-,43,3,billboard100
have yourself a merry little christmas,michael buble,-,47,2,billboard100
christmastime is here,vince guaraldi trio,-,48,1,billboard100
thats what i want,lil nas x,45,10,14,billboard100
one right now,post malone & the weeknd,38,6,7,billboard100
happier than ever,billie eilish,43,11,21,billboard100
love nwantiti (ah ah ah),ckay,47,31,14,billboard100
knife talk,drake featuring 21 savage & project pat,48,4,16,billboard100
thinking 'bout you,dustin lynch featuring lauren alaina or mackenzie porter,52,30,19,billboard100
merry christmas,ed sheeran & elton john,66,55,3,billboard100
better days,neiked x mae muller x polo g,53,29,10,billboard100
oh my god,adele,51,5,5,billboard100
way 2 sexy,drake featuring future & young thug,46,1,16,billboard100
buy dirt,jordan davis featuring luke bryan,57,30,20,billboard100
meet me at our spot,the anxiety: willow & tyler cole,58,21,15,billboard100
you should probably leave,chris stapleton,61,39,25,billboard100
christmas tree farm (old timey version),taylor swift,81,62,4,billboard100
pick out a christmas tree,dan + shay,79,63,4,billboard100
whiskey and rain,michael ray,65,61,12,billboard100
girls want girls,drake featuring lil baby,60,2,16,billboard100
sand in my boots,morgan wallen,67,32,23,billboard100
who want smoke??,"nardo wick featuring g herbo, lil durk & 21 savage",62,17,11,billboard100
all too well (taylor's version),taylor swift,59,1,6,billboard100
big energy,latto,71,69,9,billboard100
enemy,imagine dragons x jid,68,68,5,billboard100
i'll be home for christmas,camila cabello,83,71,3,billboard100
chosen,blxst & tyga featuring ty dolla $ign,73,53,13,billboard100
one mississippi,kane brown,77,59,13,billboard100
burn,juice wrld,34,34,2,billboard100
have mercy,chloe,70,28,15,billboard100
woman,doja cat,78,62,21,billboard100
25 million,roddy ricch,-,77,1,billboard100
by your side,rod wave,69,58,4,billboard100
christmas isn't canceled (just you),kelly clarkson,-,79,1,billboard100
for tonight,giveon,91,80,12,billboard100
life goes on,oliver tree,-,81,3,billboard100
'til you can't,cody johnson,88,65,11,billboard100
to be loved by you,parker mccollum,85,83,4,billboard100
my universe,coldplay x bts,74,1,13,billboard100
moved to miami,roddy ricch featuring lil baby,-,85,1,billboard100
freedom was a highway,jimmie allen & brad paisley,95,76,11,billboard100
wandered to la.,juice wrld & justin bieber,55,49,3,billboard100
already dead,juice wrld,54,20,5,billboard100
tequila little time,jon pardi, 90,68,11,billboard100
scorpio,moneybagg yo,94,87,5,billboard100
hibachi,roddy ricch featuring kodak black & 21 savage,-,91,1,billboard100
heart on fire,eric church,99,89,5,billboard100
message in a bottle (taylor's version) (from the vault),taylor swift,89,45,6,billboard100
same boat,zac brown band,92,48,14,billboard100
thailand,roddy ricch,-,95,1,billboard100
bubbly,young thug with drake & travis scott,100,20,10,billboard100
do it to it,acraze featuring cherish,-,97,1,billboard100
no love,summer walker & sza,96,13,7,billboard100
knowing you,kenny chesney,84,57,19,billboard100
family ties,baby keem & kendrick lamar,93,18,17,billboard100
