,artist
0,Drake
1,Ed Sheeran
2,Bad Bunny
3,Ariana Grande
4,The Weeknd
5,Justin Bieber
6,Post Malone
7,Eminem
8,Taylor Swift
9,J Balvin
10,BTS
11,Kanye West
12,Billie Eilish
13,Ozuna
14,Khalid
15,XXXTENTACION
16,Juice WRLD
17,Coldplay
18,Travis Scott
19,Rihanna
20,Imagine Dragons
21,Dua Lipa
22,Maroon 5
23,Shawn Mendes
24,David Guetta
25,Calvin Harris
26,Daddy Yankee
27,Sam Smith
28,Bruno Mars
29,Queen
30,Kendrick Lamar
31,The Chainsmokers
32,Chris Brown
33,Beyoncé
34,One Direction
35,Future
36,Sia
37,Nicki Minaj
38,Lady Gaga
39,Halsey
40,Selena Gomez
41,J. Cole
42,Anuel AA
43,The Beatles
44,Maluma
45,Twenty One Pilots
46,Kygo
47,Marshmello
48,Linkin Park
49,Avicii
50,Lil Uzi Vert
51,Adele
52,Katy Perry
53,Farruko
54,Camila Cabello
55,Lana Del Rey
56,Jason Derulo
57,Red Hot Chili Peppers
58,Nicky Jam
59,Arctic Monkeys
60,Shakira
61,Demi Lovato
62,Martin Garrix
63,Rauw Alejandro
64,OneRepublic
65,Miley Cyrus
66,Michael Jackson
67,G-Eazy
68,Major Lazer
69,Panic! At The Disco
70,Harry Styles
71,Pitbull
72,KAROL G
73,Ellie Goulding
74,Cardi B
75,Charlie Puth
76,Lil Wayne
77,Wiz Khalifa
78,Sebastian Yatra
79,DaBaby
80,Young Thug
81,Logic
82,Migos
83,21 Savage
84,Doja Cat
85,Alan Walker
86,Tyga
87,Lil Baby
88,Fall Out Boy
89,John Mayer
90,Metallica
91,Diplo
92,Mac Miller
93,P!nk
94,Sech
95,Macklemore
96,ZAYN
97,Pop Smoke
98,Lauv
99,Lil Peep
100,DJ Snake
101,Zedd
102,Myke Towers
103,James Arthur
104,Little Mix
105,AC/DC
106,Trippie Redd
107,A$AP Rocky
108,5 Seconds of Summer
109,A Boogie Wit da Hoodie
110,Kodak Black
111,Robin Schulz
112,NF
113,Justin Timberlake
114,Lil Nas X
115,Romeo Santos
116,Metro Boomin
117,Frank Ocean
118,DJ Khaled
119,Green Day
120,Zara Larsson
121,Clean Bandit
122,Anne-Marie
123,Bob Marley & The Wailers
124,Elton John
125,Bebe Rexha
126,Lewis Capaldi
127,Enrique Iglesias
128,Gunna
129,Luis Miguel
130,YoungBoy Never Broke Again
131,Tiësto
132,Black Eyed Peas
133,Flo Rida
134,BLACKPINK
135,Pink Floyd
136,Ty Dolla $ign
137,Olivia Rodrigo
138,Luis Fonsi
139,The Rolling Stones
140,Nirvana
141,blackbear
142,"Tyler, The Creator"
143,Michael Bublé
144,JAY-Z
145,Fleetwood Mac
146,Machine Gun Kelly
147,Russ
148,SZA
149,Britney Spears
150,Guns N' Roses
151,Jonas Blue
152,Childish Gambino
153,Bastille
154,$uicideboy$
155,Banda MS de Sergio Lizárraga
156,2Pac
157,Skrillex
158,Anitta
159,Big Sean
160,Alessia Cara
161,Usher
162,Lorde
163,Kid Cudi
164,David Bowie
165,Gorillaz
166,50 Cent
167,Camilo
168,Reik
169,Hozier
170,Becky G
171,The Killers
172,Foo Fighters
173,Mariah Carey
174,Meek Mill
175,French Montana
176,blink-182
177,Marília Mendonça
178,John Legend
179,Tory Lanez
180,U2
181,Led Zeppelin
182,Meghan Trainor
183,The Neighbourhood
184,Rae Sremmurd
185,Rita Ora
186,Ava Max
187,Luke Combs
188,Gucci Mane
189,Daft Punk
190,6ix9ine
191,The 1975
192,Polo G
193,Mumford & Sons
194,Manuel Turizo
195,Roddy Ricch
196,Radiohead
197,System Of A Down
198,Jhay Cortez
199,The Kid LAROI
200,Muse
201,Elvis Presley
202,Joji
203,Swae Lee
204,Jack Johnson
205,Snoop Dogg
206,Hailee Steinfeld
207,The Notorious B.I.G.
208,Jorge & Mateus
209,Bazzi
210,Oasis
211,Jess Glynne
212,Paramore
213,Don Omar
214,Troye Sivan
215,Cheat Codes
216,Christina Aguilera
217,Felix Jaehn
218,Frank Sinatra
219,Julia Michaels
220,Fifth Harmony
221,Disclosure
222,Slipknot
223,Bon Jovi
224,Dalex
225,Chance the Rapper
226,Kings of Leon
227,Florida Georgia Line
228,Alicia Keys
229,Melanie Martinez
230,Tame Impala
231,Tove Lo
232,6LACK
233,Megan Thee Stallion
234,The Lumineers
235,Natti Natasha
236,Luke Bryan
237,The Script
238,Zion & Lennox
239,Playboi Carti
240,Five Finger Death Punch
241,Christian Nodal
242,Glee Cast
243,Alesso
244,Florence + The Machine
245,Jason Mraz
246,Galantis
247,Nickelback
248,Creedence Clearwater Revival
249,Paulo Londra
250,ABBA
251,Lil Pump
252,Bruce Springsteen
253,Madonna
254,Gusttavo Lima
255,Kehlani
256,Zé Neto & Cristiano
257,Niall Horan
258,Whitney Houston
259,Rammstein
260,Justin Quiles
261,Bryson Tiller
262,Alok
263,Capital Bra
264,Ne-Yo
265,Arcangel
266,Kane Brown
267,Morat
268,Piso 21
269,Lenny Tavárez
270,My Chemical Romance
271,NAV
272,Vance Joy
273,James Bay
274,Bring Me The Horizon
275,Kelly Clarkson
276,Thomas Rhett
277,Labrinth
278,TWICE
279,YG
280,Avril Lavigne
281,Henrique & Juliano
282,Jennifer Lopez
283,Aerosmith
284,Jonas Brothers
285,Wisin
286,Disturbed
287,Kevin Gates
288,Amy Winehouse
289,Ryan Lewis
290,YNW Melly
291,Lil Skies
292,Flume
293,Tones And I
294,Stevie Wonder
295,Backstreet Boys
296,Morgan Wallen
297,Maná
298,Miguel
299,Hans Zimmer
300,Alejandro Fernández
301,Fetty Wap
302,Lil Tecca
303,Kesha
304,Sean Paul
305,Jason Aldean
306,Phil Collins
307,Wisin & Yandel
308,Lil Tjay
309,Yandel
310,Prince Royce
311,Steve Aoki
312,Matheus & Kauan
313,Three Days Grace
314,Billy Joel
315,Nio Garcia
316,Jeremih
317,Dr. Dre
318,Dan + Shay
319,Akon
320,Eagles
321,Why Don't We
322,benny blanco
323,Seeb
324,Jessie J
325,Lil Mosey
326,George Ezra
327,Wesley Safadão
328,Trey Songz
329,Pearl Jam
330,Alejandro Sanz
331,CNCO
332,Johnny Cash
333,Mark Ronson
334,Passenger
335,Lizzo
336,Céline Dion
337,Aventura
338,The Strokes
339,Ricky Martin
340,Lin-Manuel Miranda
341,Jack Harlow
342,Lukas Graham
343,Avenged Sevenfold
344,The Offspring
345,H.E.R.
346,Jul
347,24kGoldn
348,Bob Dylan
349,Cartel De Santa
350,Train
351,2 Chainz
352,Duki
353,Pablo Alborán
354,Foster The People
355,Pentatonix
356,Ricardo Arjona
357,Calibre 50
358,ScHoolboy Q
359,James Blunt
360,Daniel Caesar
361,Rudimental
362,Lil Yachty
363,Marc Anthony
364,Macklemore & Ryan Lewis
365,Armin van Buuren
366,Liam Payne
367,Offset
368,Bon Iver
369,Nelly
370,Don Toliver
371,Sam Hunt
372,Dire Straits
373,Sigala
374,Anderson .Paak
375,Bee Gees
376,LANY
377,Glass Animals
378,BROCKHAMPTON
379,Bryan Adams
380,Quavo
381,Ski Mask The Slump God
382,Jhené Aiko
383,Blake Shelton
384,Charli XCX
385,Mike Posner
386,Alec Benjamin
387,Zac Brown Band
388,Dean Lewis
389,Lil Durk
390,Jeremy Zucker
391,The Vamps
392,Cage The Elephant
393,Arijit Singh
394,Carlos Vives
395,Skillet
396,Iron Maiden
397,PARTYNEXTDOOR
398,The Black Keys
399,R3HAB
400,Danny Ocean
401,Birdy
402,A$AP Ferg
403,Ninho
404,Maren Morris
405,The Police
406,Marvin Gaye
407,The Doors
408,ILLENIUM
409,Boyce Avenue
410,Lost Frequencies
411,Carly Rae Jepsen
412,Bradley Cooper
413,T.I.
414,RAF Camora
415,Soda Stereo
416,Chris Stapleton
417,Tim McGraw
418,Madison Beer
419,Rise Against
420,Calum Scott
421,John Williams
422,Mabel
423,Iggy Azalea
424,Bibi Blocksberg
425,Juanes
426,Mau y Ricky
427,Eric Church
428,SAINt JHN
429,Maiara & Maraisa
430,alt-J
431,ROSALÍA
432,Noah Cyrus
433,Lunay
434,Korn
435,Weezer
436,Summer Walker
437,Måneskin
438,Norah Jones
439,Conan Gray
440,Rich The Kid
441,Nick Jonas
442,Destiny's Child
443,The Cure
444,Hillsong Worship
445,Journey
446,Kenny Chesney
447,La Arrolladora Banda El Limón De Rene Camacho
